"","bidirectId","centrality_pre","centrality_post","geom_length","pre_scenario","post_scenario"
"28326",78177,43,44,0.0452157955195861,"[1-726]","[1-726]"
"28327",78177,43,44,0.0452157955195861,"[1-726]","[1-726]"
"28328",78177,43,44,0.0452157955195861,"[1-726]","[1-726]"
"28329",78179,43,44,0.0119347923339998,"[1-726]","[1-726]"
"28330",78179,43,44,0.0119347923339998,"[1-726]","[1-726]"
"28331",78179,43,44,0.0119347923339998,"[1-726]","[1-726]"
"28332",78179,43,44,0.0119347923339998,"[1-726]","[1-726]"
"28333",78181,47,48,0.0670237878266844,"[1-726]","[1-726]"
"28334",78181,47,48,0.0670237878266844,"[1-726]","[1-726]"
"28335",78181,47,48,0.0670237878266844,"[1-726]","[1-726]"
"28336",78181,47,48,0.0670237878266844,"[1-726]","[1-726]"
"28337",78192,31,31,0.0610093301139122,"[1-726]","[1-726]"
"28338",78198,27,29,0.15160816986506,"[1-726]","[1-726]"
"28339",78220,29,0,0.0492564994282281,"[1-726]","[0]"
"28340",78220,29,0,0.0492564994282281,"[1-726]","[0]"
"28341",78326,60,60,0.051743747128884,"[1-726]","[1-726]"
"28342",78326,60,60,0.051743747128884,"[1-726]","[1-726]"
"28343",78326,60,60,0.051743747128884,"[1-726]","[1-726]"
"28344",78326,60,60,0.051743747128884,"[1-726]","[1-726]"
"28345",78327,10,10,0.0790373403142518,"[1-726]","[1-726]"
"28346",78327,10,10,0.0790373403142518,"[1-726]","[1-726]"
"28347",78327,10,10,0.0790373403142518,"[1-726]","[1-726]"
"28348",78327,10,10,0.0790373403142518,"[1-726]","[1-726]"
"28349",78330,33,33,0.0769819394106684,"[1-726]","[1-726]"
"28350",78342,1547,1319,0.0512725217778337,"[726-2114]","[726-2114]"
"28351",78342,1547,1319,0.0512725217778337,"[726-2114]","[726-2114]"
"28352",78342,1547,1319,0.0512725217778337,"[726-2114]","[726-2114]"
"28353",78342,1547,1319,0.0512725217778337,"[726-2114]","[726-2114]"
"28354",78488,376,127,0.0489156464028572,"[1-726]","[1-726]"
"28355",78488,376,127,0.0489156464028572,"[1-726]","[1-726]"
"28356",78488,376,127,0.0489156464028572,"[1-726]","[1-726]"
"28357",78488,376,127,0.0489156464028572,"[1-726]","[1-726]"
"28358",78490,376,127,0.049756385937098,"[1-726]","[1-726]"
"28359",78490,376,127,0.049756385937098,"[1-726]","[1-726]"
"28360",78490,376,127,0.049756385937098,"[1-726]","[1-726]"
"28361",78490,376,127,0.049756385937098,"[1-726]","[1-726]"
"28362",78493,2,2,0.127469611400652,"[1-726]","[1-726]"
"28363",78493,2,2,0.127469611400652,"[1-726]","[1-726]"
"28364",78493,2,2,0.127469611400652,"[1-726]","[1-726]"
"28365",78493,2,2,0.127469611400652,"[1-726]","[1-726]"
"28366",78497,300,174,0.131435579375005,"[1-726]","[1-726]"
"28367",78497,300,174,0.131435579375005,"[1-726]","[1-726]"
"28368",78497,300,174,0.131435579375005,"[1-726]","[1-726]"
"28369",78497,300,174,0.131435579375005,"[1-726]","[1-726]"
"28370",78498,298,172,0.0500375376101057,"[1-726]","[1-726]"
"28371",78509,7,7,0.15366524510427,"[1-726]","[1-726]"
"28372",78509,7,7,0.15366524510427,"[1-726]","[1-726]"
"28373",78509,7,7,0.15366524510427,"[1-726]","[1-726]"
"28374",78509,7,7,0.15366524510427,"[1-726]","[1-726]"
"28375",78525,530,0,0.210307454067707,"[1-726]","[0]"
"28376",78525,530,0,0.210307454067707,"[1-726]","[0]"
"28377",78528,2,2,0.104716931208348,"[1-726]","[1-726]"
"28378",78529,2,2,0.142823754672538,"[1-726]","[1-726]"
"28379",78531,109,0,0.00979568593598657,"[1-726]","[0]"
"28380",78535,1830,1097,0.0975588759760987,"[726-2114]","[726-2114]"
"28381",78535,1830,1097,0.0975588759760987,"[726-2114]","[726-2114]"
